"Index"	"Abbreviation"	"OfficialName"	"Equation"	"ValidTarget"	"reconstruction directionality"	"subSystem"	"proteinClass"	"GeneAssociation"	"reaction with marvin charges (pH7)"	"reaction with marvin charges (pH 7.2)"	"DeltaG"	"delta G (pH 7)"	"mM delta G (pH 7)"	"min delta G (pH 7)"	"max delta G (pH 7)"	"delta G (pH 7.2)"	"uncertainty in delta G (pH 7 or pH 7.2)"	"mM delta G (pH 7.2)"	"min delta G (pH 7.2)"	"max delta G (pH 7.2)"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"
1	"r12DGR120tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)"	"12dgr120[p] --> 12dgr120[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"			"12dgr120[p] --> 12dgr120"	"12dgr120[p] --> 12dgr120"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
2	"r12DGR140tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)"	"12dgr140[p] --> 12dgr140[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"			"12dgr140[p] --> 12dgr140"	"12dgr140[p] --> 12dgr140"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
3	"r12DGR141tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)"	"12dgr141[p] --> 12dgr141[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"			"12dgr141[p] --> 12dgr141"	"12dgr141[p] --> 12dgr141"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
4	"r12DGR160tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)"	"12dgr160[p] --> 12dgr160[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"			"12dgr160[p] --> 12dgr160"	"12dgr160[p] --> 12dgr160"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
5	"r12DGR161tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)"	"12dgr161[p] --> 12dgr161[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"			"12dgr161[p] --> 12dgr161"	"12dgr161[p] --> 12dgr161"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
6	"r12DGR180tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)"	"12dgr180[p] --> 12dgr180[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"			"12dgr180[p] --> 12dgr180"	"12dgr180[p] --> 12dgr180"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
7	"r12DGR181tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)"	"12dgr181[p] --> 12dgr181[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"			"12dgr181[p] --> 12dgr181"	"12dgr181[p] --> 12dgr181"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
8	"r12PPDRtex"	"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"	"12ppd-R[e] <==> 12ppd-R[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"12ppd-R[e] <==> 12ppd-R[p]"	"12ppd-R[e] <==> 12ppd-R[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
9	"r12PPDRtpp"	"(R)-Propane-1,2-diol facilitated transport (periplasm)"	"12ppd-R[p] <==> 12ppd-R[c]"	"FALSE"	"reversible"	"Transport, Inner Membrane"			"12ppd-R[p] <==> 12ppd-R"	"12ppd-R[p] <==> 12ppd-R"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
10	"r12PPDStex"	"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"	"12ppd-S[e] <==> 12ppd-S[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"12ppd-S[e] <==> 12ppd-S[p]"	"12ppd-S[e] <==> 12ppd-S[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
