"Flux"	"Abbreviation"	"OfficialName"	"Direction"	"Lower"	"Upper"
4146	"EX_13BDglcn(e)"	"1,3-beta-D-Glucan exchange"	"Reversible"	0	"None"
12491	"EX_2hb(e)"	"2-Hydroxybutyrate exchange"	"Reversible"	0	"None"
19492	"EX_2mbac(e)"	"2-methylbutyl acetate exchange"	"Reversible"	0	"None"
19493	"EX_2mbald(e)"	"2-methylbutyraldehyde exchange"	"Reversible"	0	"None"
19494	"EX_2mbtoh(e)"	"2-methyl-1-butanol exchange"	"Reversible"	0	"None"
19495	"EX_2mppal(e)"	"2-methylpropanal exchange"	"Reversible"	0	"None"
19496	"EX_2phetoh(e)"	"2-phenylethanol exchange"	"Reversible"	0	"None"
21795	"EX_3c3hmp(e)"	"3-Carboxy-3-hydroxy-4-methylpentanoate exchange"	"Reversible"	0	"None"
19497	"EX_3mbald(e)"	"3-Methylbutanal exchange"	"Reversible"	0	"None"
21791	"EX_3mop(e)"	"3mop exchange"	"Reversible"	0	"None"
827	"EX_4abut(e)"	"4-Aminobutanoate exchange"	"Reversible"	0	"None"
8747	"EX_4abz(e)"	"4-Aminobenzoate exchange"	"Reversible"	0	"None"
1604	"EX_5aop(e)"	"5-Amino-4-oxopentanoate exchange"	"Reversible"	0	"None"
4140	"EX_8aonn(e)"	"8-Amino-7-oxononanoate exchange"	"Reversible"	0	"None"
19439	"EX_Nbfortyr(e)"	"N,N-bisformyl-dityrosine exchange"	"Reversible"	0	"None"
2300	"EX_abt(e)"	"L-Arabinitol exchange"	"Reversible"	0	"None"
828	"EX_ac(e)"	"Acetate exchange"	"Reversible"	0	"None"
1456	"EX_acald(e)"	"Acetaldehyde exchange"	"Reversible"	0	"None"
19498	"EX_aces(e)"	"Acetic ester exchange"	"Reversible"	0	"None"
826	"EX_ade(e)"	"Adenine exchange"	"Reversible"	0	"None"
758	"EX_adn(e)"	"Adenosine exchange"	"Reversible"	0	"None"
829	"EX_akg(e)"	"2-Oxoglutarate exchange"	"Reversible"	0	"None"
830	"EX_ala-L(e)"	"L-Alanine exchange"	"Reversible"	0	"None"
1126	"EX_alltn(e)"	"Allantoin exchange"	"Reversible"	0	"None"
1605	"EX_alltt(e)"	"Allantoate exchange"	"Reversible"	0	"None"
1606	"EX_amet(e)"	"S-Adenosyl-L-methionine exchange"	"Reversible"	0	"None"
1607	"EX_arab-D(e)"	"D-Arabinose exchange"	"Reversible"	0	"None"
680	"EX_arab-L(e)"	"L-Arabinose exchange"	"Reversible"	0	"None"
831	"EX_arg-L(e)"	"L-Arginine exchange"	"Reversible"	0	"None"
832	"EX_asn-L(e)"	"L-Asparagine exchange"	"Reversible"	0	"None"
833	"EX_asp-L(e)"	"L-Aspartate exchange"	"Reversible"	0	"None"
834	"EX_btd-RR(e)"	"(R,R)-2,3-Butanediol exchange"	"Reversible"	0	"None"
1608	"EX_btn(e)"	"Biotin exchange"	"Reversible"	0	"None"
1047	"EX_chol(e)"	"Choline exchange"	"Reversible"	0	"None"
1048	"EX_cit(e)"	"Citrate exchange"	"Reversible"	0	"None"
805	"EX_co2(e)"	"CO2 exchange"	"Reversible"	0	"None"
706	"EX_crn(e)"	"L-Carnitine exchange"	"Reversible"	0	"None"
835	"EX_csn(e)"	"Cytosine exchange"	"Reversible"	0	"None"
1065	"EX_cys-L(e)"	"L-Cysteine exchange"	"Reversible"	0	"None"
836	"EX_cytd(e)"	"Cytidine exchange"	"Reversible"	0	"None"
4137	"EX_dad-2(e)"	"Deoxyadenosine exchange"	"Reversible"	0	"None"
1609	"EX_dann(e)"	"7,8-Diaminononanoate exchange"	"Reversible"	0	"None"
8161	"EX_dca(e)"	"Decanoate (n-C10:0) exchange"	"Reversible"	0	"None"
837	"EX_dcyt(e)"	"Deoxycytidine exchange"	"Reversible"	0	"None"
2588	"EX_ddca(e)"	"Dodecanoate (n-C12:0) exchange"	"Reversible"	0	"None"
1610	"EX_dgsn(e)"	"Deoxyguanosine exchange"	"Reversible"	0	"None"
1611	"EX_din(e)"	"Deoxyinosine exchange"	"Reversible"	0	"None"
1612	"EX_dttp(e)"	"dTTP exchange"	"Reversible"	0	"None"
1066	"EX_duri(e)"	"Deoxyuridine exchange"	"Reversible"	0	"None"
15298	"EX_epist(e)"	"episterol exchange"	"Reversible"	0	"None"
15300	"EX_epistest_SC(e)"	"episterol ester, yeast-specific exchange"	"Reversible"	0	"None"
2038	"EX_ergst(e)"	"Ergosterol exchange"	"Reversible"	0	"None"
15299	"EX_ergstest_SC(e)"	"ergosterol ester, yeast-specific exchange"	"Reversible"	0	"None"
8149	"EX_etha(e)"	"Ethanolamine exchange"	"Reversible"	0	"None"
839	"EX_etoh(e)"	"Ethanol exchange"	"Reversible"	0	"None"
1310	"EX_fe2(e)"	"Fe2+ exchange"	"Reversible"	"None"	"None"
15296	"EX_fecost(e)"	"fecosterol exchange"	"Reversible"	0	"None"
15297	"EX_fecostest_SC(e)"	"fecosterol ester, yeast-specific exchange"	"Reversible"	0	"None"
1613	"EX_fmn(e)"	"FMN exchange"	"Reversible"	0	"None"
1067	"EX_for(e)"	"Formate exchange"	"Reversible"	0	"None"
681	"EX_fru(e)"	"D-Fructose exchange"	"Reversible"	0	"None"
840	"EX_fum(e)"	"Fumarate exchange"	"Reversible"	0	"None"
12288	"EX_g3pc(e)"	"sn-Glycero-3-phosphocholine exchange"	"Reversible"	0	"None"
12291	"EX_g3pi(e)"	"sn-Glycero-3-phospho-1-inositol exchange"	"Reversible"	0	"None"
682	"EX_gal(e)"	"D-Galactose exchange"	"Reversible"	0	"None"
2628	"EX_galur(e)"	"D-Galacturonate exchange"	"Reversible"	0	"None"
4141	"EX_gam6p(e)"	"D-Glucosamine 6-phosphate exchange"	"Reversible"	0	"None"
2039	"EX_gcald(e)"	"Glycolaldehyde exchange"	"Reversible"	0	"None"
99	"EX_glc(e)"	"D-Glucose exchange"	"Reversible"	-10	"None"
710	"EX_gln-L(e)"	"L-Glutamine exchange"	"Reversible"	0	"None"
841	"EX_glu-L(e)"	"L-Glutamate exchange"	"Reversible"	0	"None"
21796	"EX_glx(e)"	"Glyoxylate exchange"	"Reversible"	0	"None"
1068	"EX_gly(e)"	"Glycine exchange"	"Reversible"	0	"None"
711	"EX_glyc(e)"	"Glycerol exchange"	"Reversible"	0	"None"
1069	"EX_gsn(e)"	"Guanosine exchange"	"Reversible"	0	"None"
1614	"EX_gthox(e)"	"Oxidized glutathione exchange"	"Reversible"	0	"None"
2571	"EX_gthrd(e)"	"Reduced glutathione exchange"	"Reversible"	0	"None"
842	"EX_gua(e)"	"Guanine exchange"	"Reversible"	0	"None"
104	"EX_h(e)"	"H+ exchange"	"Reversible"	"None"	"None"
100	"EX_h2o(e)"	"H2O exchange"	"Reversible"	"None"	"None"
4143	"EX_hdca(e)"	"Hexadecanoate (n-C16:0) exchange"	"Reversible"	0	"None"
2040	"EX_hdcea(e)"	"hexadecenoate (n-C16:1) exchange"	"Reversible"	0	"None"
12508	"EX_hexc(e)"	"hexacosanoate (n-C26:0) exchange"	"Reversible"	0	"None"
843	"EX_his-L(e)"	"L-Histidine exchange"	"Reversible"	0	"None"
844	"EX_hxan(e)"	"Hypoxanthine exchange"	"Reversible"	0	"None"
19499	"EX_iamac(e)"	"isoamyl acetate exchange"	"Reversible"	0	"None"
19500	"EX_iamoh(e)"	"Isoamyl alcohol exchange"	"Reversible"	0	"None"
19501	"EX_ibutac(e)"	"isobutyl acetate exchange"	"Reversible"	0	"None"
19502	"EX_ibutoh(e)"	"isobutyl alcohol exchange"	"Reversible"	0	"None"
19503	"EX_id3acald(e)"	"Indole-3-acetaldehyde exchange"	"Reversible"	0	"None"
845	"EX_ile-L(e)"	"L-Isoleucine exchange"	"Reversible"	0	"None"
19504	"EX_ind3eth(e)"	"Indole-3-ethanol exchange"	"Reversible"	0	"None"
712	"EX_inost(e)"	"myo-Inositol exchange"	"Reversible"	0	"None"
759	"EX_ins(e)"	"Inosine exchange"	"Reversible"	0	"None"
846	"EX_k(e)"	"K+ exchange"	"Reversible"	"None"	"None"
3075	"EX_lac-D(e)"	"D-lactate exchange"	"Reversible"	0	"None"
847	"EX_lac-L(e)"	"L-Lactate exchange"	"Reversible"	0	"None"
15301	"EX_lanost(e)"	"Lanosterol exchange"	"Reversible"	0	"None"
15302	"EX_lanostest_SC(e)"	"lanosterol ester, yeast-specific exchange"	"Reversible"	0	"None"
848	"EX_leu-L(e)"	"L-Leucine exchange"	"Reversible"	0	"None"
1072	"EX_lys-L(e)"	"L-Lysine exchange"	"Reversible"	0	"None"
849	"EX_mal-L(e)"	"L-Malate exchange"	"Reversible"	0	"None"
713	"EX_malt(e)"	"Maltose exchange"	"Reversible"	0	"None"
714	"EX_man(e)"	"D-Mannose exchange"	"Reversible"	0	"None"
1457	"EX_melib(e)"	"Melibiose exchange"	"Reversible"	0	"None"
1120	"EX_met-L(e)"	"L-Methionine exchange"	"Reversible"	0	"None"
3094	"EX_mmet(e)"	"S-Methyl-L-methionine exchange"	"Reversible"	0	"None"
850	"EX_na1(e)"	"Sodium exchange"	"Reversible"	"None"	"None"
2033	"EX_nac(e)"	"Nicotinate exchange"	"Reversible"	0	"None"
10111	"EX_nadp(e)"	"Nicotinamide adenine dinucleotide phosphate exchange"	"Reversible"	0	"None"
892	"EX_nh4(e)"	"Ammonia exchange"	"Reversible"	"None"	"None"
2924	"EX_nmn(e)"	"NMN exchange"	"Reversible"	0	"None"
804	"EX_o2(e)"	"O2 exchange"	"Reversible"	-2	"None"
21799	"EX_oaa(e)"	"Oxaloacetate exchange"	"Reversible"	0	"None"
2035	"EX_ocdca(e)"	"octadecanoate (n-C18:0) exchange"	"Reversible"	0	"None"
4144	"EX_ocdcea(e)"	"octadecenoate (n-C18:1) exchange"	"Reversible"	0	"None"
2041	"EX_ocdcya(e)"	"octadecynoate (n-C18:2) exchange"	"Reversible"	0	"None"
852	"EX_orn(e)"	"Ornithine exchange"	"Reversible"	0	"None"
12297	"EX_pacald(e)"	"Phenylacetaldehyde exchange"	"Reversible"	0	"None"
1615	"EX_pap(e)"	"Adenosine 3',5'-bisphosphate exchange"	"Reversible"	0	"None"
15199	"EX_pc_SC(e)"	"Phosphatidylcholine, yeast-specific exchange"	"Reversible"	0	"None"
19466	"EX_pectin(e)"	"Pectin exchange"	"Reversible"	0	"None"
2042	"EX_pepd(e)"	"peptide exchange"	"Reversible"	0	"None"
853	"EX_phe-L(e)"	"L-Phenylalanine exchange"	"Reversible"	0	"None"
19505	"EX_pheac(e)"	"Phenethyl acetate exchange"	"Reversible"	0	"None"
101	"EX_pi(e)"	"Phosphate exchange"	"Reversible"	"None"	"None"
1616	"EX_pnto-R(e)"	"(R)-Pantothenate exchange"	"Reversible"	0	"None"
854	"EX_pro-L(e)"	"L-Proline exchange"	"Reversible"	0	"None"
15200	"EX_ptd1ino_SC(e)"	"phosphatidyl-1D-myo-inositol, yeast-specific exchange"	"Reversible"	0	"None"
1617	"EX_ptrc(e)"	"Putrescine exchange"	"Reversible"	0	"None"
855	"EX_pyr(e)"	"Pyruvate exchange"	"Reversible"	0	"None"
717	"EX_rib-D(e)"	"D-Ribose exchange"	"Reversible"	0	"None"
991	"EX_ribflv(e)"	"Riboflavin exchange"	"Reversible"	0	"None"
718	"EX_sbt-D(e)"	"D-Sorbitol exchange"	"Reversible"	0	"None"
2301	"EX_sbt-L(e)"	"L-Sorbitol exchange"	"Reversible"	0	"None"
1074	"EX_ser-L(e)"	"L-Serine exchange"	"Reversible"	0	"None"
8749	"EX_so3(e)"	"Sulfite exchange"	"Reversible"	0	"None"
719	"EX_so4(e)"	"Sulfate exchange"	"Reversible"	"None"	"None"
1618	"EX_spmd(e)"	"Spermidine exchange"	"Reversible"	0	"None"
1619	"EX_sprm(e)"	"Spermine exchange"	"Reversible"	0	"None"
2043	"EX_srb-L(e)"	"L-Sorbose exchange"	"Reversible"	0	"None"
856	"EX_succ(e)"	"Succinate exchange"	"Reversible"	0	"None"
720	"EX_sucr(e)"	"Sucrose exchange"	"Reversible"	0	"None"
2634	"EX_taur(e)"	"Taurine exchange"	"Reversible"	0	"None"
1075	"EX_thm(e)"	"Thiamin exchange"	"Reversible"	0	"None"
2298	"EX_thmmp(e)"	"Thiamin monophosphate exchange"	"Reversible"	0	"None"
2299	"EX_thmpp(e)"	"Thiamine diphosphate exchange"	"Reversible"	0	"None"
857	"EX_thr-L(e)"	"L-Threonine exchange"	"Reversible"	0	"None"
1621	"EX_thym(e)"	"Thymine exchange"	"Reversible"	0	"None"
858	"EX_thymd(e)"	"Thymidine exchange"	"Reversible"	0	"None"
721	"EX_tre(e)"	"Trehalose exchange"	"Reversible"	0	"None"
1076	"EX_trp-L(e)"	"L-Tryptophan exchange"	"Reversible"	0	"None"
2037	"EX_ttdca(e)"	"tetradecanoate (n-C14:0) exchange"	"Reversible"	0	"None"
859	"EX_tyr-L(e)"	"L-Tyrosine exchange"	"Reversible"	0	"None"
860	"EX_ura(e)"	"Uracil exchange"	"Reversible"	0	"None"
2925	"EX_urea(e)"	"Urea exchange"	"Reversible"	0	"None"
861	"EX_uri(e)"	"Uridine exchange"	"Reversible"	0	"None"
862	"EX_val-L(e)"	"L-Valine exchange"	"Reversible"	0	"None"
863	"EX_xan(e)"	"Xanthine exchange"	"Reversible"	0	"None"
1622	"EX_xtsn(e)"	"Xanthosine exchange"	"Reversible"	0	"None"
684	"EX_xyl-D(e)"	"D-Xylose exchange"	"Reversible"	0	"None"
4145	"EX_xylt(e)"	"Xylitol exchange"	"Reversible"	0	"None"
2044	"EX_zymst(e)"	"zymosterol exchange"	"Reversible"	0	"None"
15303	"EX_zymstest_SC(e)"	"zymosterol ester, yeast-specific exchange"	"Reversible"	0	"None"
2009	"13BGH"	"Endo-1,3-beta-glucan glucohydrase"	"Irreversible"	0	"None"
2397	"13BGHe"	"Exo-1,3-beta-glucan glucohydrase"	"Irreversible"	0	"None"
2729	"13GS"	"1,3-beta-glucan synthase"	"Irreversible"	0	"None"
13472	"16GS"	"1,6-beta-glucan synthase"	"Irreversible"	0	"None"
18758	"23CAPPD"	"ADP-ribose 2,3-cyclic phosphodiesterase"	"Irreversible"	0	"None"
1678	"2DDA7Ptm"	"2-Dehydro-3-deoxy-D-arabino-heptonate7-phohsphate mitochondrial transport via diffusion"	"Reversible"	"None"	"None"
1769	"2DHPtm"	"2-Dehydropantoate mitochondrial transport"	"Reversible"	"None"	"None"
18757	"2DOXG6PP"	"2-deoxyglucose-6-phosphatase"	"Irreversible"	0	"None"
10742	"2HBO"	"2-Hydroxybutyrate:NAD+ oxidoreductase"	"Reversible"	"None"	"None"
12476	"2HBt2"	"2-hydroxybutyrate cotransport with proton"	"Reversible"	"None"	"None"
19587	"2HMHMBQMTm"	"2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial"	"Irreversible"	0	"None"
19585	"2HP6MPMOm"	"2-Hexaprenyl-6-methoxyphenol monooxygenase, mitochondrial"	"Irreversible"	0	"None"
19586	"2HPMBQMTm"	"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial"	"Irreversible"	0	"None"
19581	"2HPMMBQMOm"	"2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase, mitochondrial"	"Irreversible"	0	"None"
19473	"2MBACt"	"2-methylbutyl transport (extracellular)"	"Irreversible"	0	"None"
19480	"2MBALDt"	"2-Methylbutanal transport (extracellular)"	"Reversible"	"None"	"None"
19479	"2MBALDtm"	"2-Methylbutanal transport (mitochondrial)"	"Reversible"	"None"	"None"
19475	"2MBTOHt"	"2-methyl-1-butanol transport (extracellular)"	"Reversible"	"None"	"None"
19488	"2MBTOHtm"	"2-methyl-1-butanol transport (mitochondrial)"	"Reversible"	"None"	"None"
19482	"2MPPALt"	"2-methylpropanal transport (extracellular)"	"Reversible"	"None"	"None"
19481	"2MPPALtm"	"2-methylpropanal transport (mitochondrial)"	"Reversible"	"None"	"None"
21415	"2OBUTtm"	"2obut transporter (mitochondrial)"	"Reversible"	"None"	"None"
2662	"2OXOADPtim"	"2-oxoadipate transport out of mitochondria via diffusion"	"Irreversible"	0	"None"
19468	"2PHETOHt"	"2-phenylethanol reversible transport"	"Reversible"	"None"	"None"
19469	"2PHETOHtm"	"2-phenylethanol reversible transport, mitochondrial"	"Reversible"	"None"	"None"
14223	"34HPLFM"	"3-(4-hydroxyphenyl-)lactate formation"	"Irreversible"	0	"None"
2388	"34HPPOR"	"4-Hydroxyphenylpyruvate:oxygen oxidoreductase"	"Irreversible"	0	"None"
1988	"34HPPt2m"	"3-(4-hydroxyphenyl)pyruvate mitochondrial transport via proton symport"	"Reversible"	"None"	"None"
1989	"34HPPt2p"	"3-(4-hydroxyphenyl)pyruvate peroxisomal transport via proton symport"	"Reversible"	"None"	"None"
21793	"3C3HMPt"	"2-Isopropylmalate transport, diffusion"	"Reversible"	"None"	"None"
1508	"3C3HMPtm"	"2-Isopropylmalate transport, diffusion, mitochondrial"	"Reversible"	"None"	"None"
1501	"3C4MOPtm"	"3-Carboxy-4-methyl-2-oxopentanoate transport, diffusion, mitochondrial"	"Reversible"	"None"	"None"
19577	"3DH5HPBMTm"	"S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase, mitochondrial"	"Irreversible"	0	"None"
19588	"3DH5HPBtm"	"3-Hexaprenyl-4,5-dihydroxybenzoate transport, mitochondrial"	"Reversible"	"None"	"None"
1879	"3DSPHR"	"3-Dehydrosphinganine reductase"	"Irreversible"	0	"None"
3260	"3HAO"	"3-hydroxyanthranilate 3,4-dioxygenase"	"Irreversible"	0	"None"
19578	"3HPH5MBDCm"	"3-Hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase, mitochondrial"	"Irreversible"	0	"None"
18748	"3IPM3MT"	"3-Isopropylmalate 3-methyltransferase"	"Irreversible"	0	"None"
19483	"3MBALDt"	"3-methylbutanal transport (extracellular)"	"Reversible"	"None"	"None"
19484	"3MBALDtm"	"3-methylbutanal transport (mitochondrial)"	"Reversible"	"None"	"None"
18955	"3MOBDC"	"3-Methyl-2-oxobutanoate decarboxylase"	"Irreversible"	0	"None"
1513	"3MOBtm"	"3-methyl-2-oxobutanoate transport, diffusion, mitochondrial"	"Reversible"	"None"	"None"
18956	"3MOPDC"	"3-Methyl-2-oxopentanoate decarboxylase"	"Irreversible"	0	"None"
21792	"3MOPt"	"3mop reversible trasport"	"Reversible"	"None"	"None"
2995	"3MOPtm"	"3-Methyl-2-oxopentanoate transport, diffusion, mitochondrial"	"Reversible"	"None"	"None"
19576	"3OPHB5Hm"	"3-Hexaprenyl-4,5-dihydroxybenzoate hydroxylase, mitochondrial"	"Irreversible"	0	"None"
1775	"3OPHB_5tm"	"3-Octaprenyl-4-hydroxybenzoate mitochondrial transport"	"Reversible"	"None"	"None"
1682	"4ABUTNtm"	"4-aminobutanal mitochondrial transport via diffusion"	"Reversible"	"None"	"None"
1683	"4ABUTtm"	"4-aminobutanoate mitochondrial transport via diffusion"	"Reversible"	"None"	"None"
8695	"4ABZt"	"4-Aminobenzoate mitochondrial transport via diffusion"	"Reversible"	"None"	"None"
2398	"4ABZtm"	"4-Aminobenzoate mitochondrial transport via diffusion"	"Reversible"	"None"	"None"
1674	"4H2OGLTtm"	"4-hydroxy-2-oxoglutarate mitochondrial transport via diffusion"	"Reversible"	"None"	"None"
1314	"4H2OGLTtp"	"4-hydroxy-2-oxoglutarate peroxisomal transport via diffusion"	"Reversible"	"None"	"None"
14222	"4HBZCOAFm"	"4-hydroxybenzoyl-CoA formation"	"Irreversible"	0	"None"
14227	"4HBZFm"	"4-hydroxybenzoate formation"	"Irreversible"	0	"None"
1766	"4HBZtm"	"4-Hydroxybenzoate mitochondrial transport"	"Reversible"	"None"	"None"
1845	"4HGLSDm"	"L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial"	"Reversible"	"None"	"None"
1676	"4HPRO-LTtm"	"trans-4-hydroxy-L-proline mitochondrial transport via diffusion"	"Reversible"	"None"	"None"
3034	"4HTHRS"	"4-Hydroxy-L-threonine synthase"	"Irreversible"	0	"None"
18953	"4MOPDC"	"4-Methyl-2-oxopentanoate decarboxylase"	"Irreversible"	0	"None"
1753	"5AOPt2"	"5-Aminolevulinate transport in via proton symport"	"Irreversible"	0	"None"
1760	"5AOPtm"	"5-Aminolevulinate mitochondrial transport"	"Reversible"	"None"	"None"
2342	"6PGLter"	"6-phospho-D-glucono-1,5-lactone endoplasmic reticular transport via diffusion"	"Reversible"	"None"	"None"
1749	"8AONNt2"	"8-Amino-7-oxononanoate reversible transport via proton symport"	"Reversible"	"None"	"None"
3463	"AABTN"	"4-acetamidobutyrate deacetylase"	"Irreversible"	0	"None"
11706	"AACTOOR"	"Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)"	"Irreversible"	0	"None"
3261	"AASAD1"	"L-aminoadipate-semialdehyde dehydrogenase (NADPH)"	"Irreversible"	0	"None"
2673	"AASAD2"	"L-aminoadipate-semialdehyde dehydrogenase (NADH)"	"Irreversible"	0	"None"
2663	"AATA"	"2-aminoadipate transaminase"	"Reversible"	"None"	"None"
374	"ABTA"	"4-aminobutyrate transaminase"	"Irreversible"	0	"None"
2053	"ABTt"	"L-arabinitol transport via passive diffusion"	"Reversible"	"None"	"None"
1405	"ABUTDm"	"Aminobutyraldehyde dehydrogenase, mitochondrial"	"Irreversible"	0	"None"
11687	"ABUTt2r"	"4-aminobutyrate reversible transport in via proton symport"	"Reversible"	"None"	"None"
2	"ACACT1"	"acetyl-CoA C-acetyltransferase"	"Irreversible"	0	"None"
1464	"ACACT1m"	"acetyl-CoA C-acetyltransferase, mitochondrial"	"Irreversible"	0	"None"
3081	"ACACT4p"	"acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal"	"Irreversible"	0	"None"
2077	"ACACT5p"	"acetyl-CoA C-acyltransferase (decanoyl-CoA), peroxisomal"	"Irreversible"	0	"None"
2076	"ACACT6p"	"acetyl-CoA C-acetyltransferase (dodecanoyl), peroxisomal"	"Irreversible"	0	"None"
3078	"ACACT7p"	"acetyl-CoA acyltransferase (tetradecanoyl-CoA), peroxisomal"	"Irreversible"	0	"None"
2074	"ACACT8p"	"acetyl-CoA acyltransferase (hexadecanoyl-CoA), peroxisomal"	"Irreversible"	0	"None"
3077	"ACACT9p"	"acetyl-CoA acyltransferase (tetracosanoyl-CoA), peroxisomal"	"Irreversible"	0	"None"
19459	"ACALDCD"	"Acetaldehyde condensation"	"Irreversible"	0	"None"
1564	"ACALDt"	"acetaldehyde reversible transport"	"Reversible"	"None"	"None"
5533	"ACALDtm"	"acetaldehyde mitochondrial diffusion"	"Reversible"	"None"	"None"
1425	"ACCOACr"	"acetyl-CoA carboxylase, reversible reaction"	"Reversible"	"None"	"None"
12714	"ACCOACrm"	"Acetyl-Coa carboxylase, mitochondrial"	"Reversible"	"None"	"None"
1534	"ACCOAtn"	"acetyl-CoA transport, nuclear"	"Reversible"	"None"	"None"
19472	"ACESt"	"acetic ester transport (extracellular)"	"Irreversible"	0	"None"
3566	"ACGAM6PS"	"N-acetylglucosamine-6-phosphate synthase"	"Reversible"	"None"	"None"
1447	"ACGAMPM"	"phosphoacetylglucosamine mutase"	"Reversible"	"None"	"None"
2965	"ACGKm"	"acetylglutamate kinase, mitochondrial"	"Irreversible"	0	"None"
3464	"ACGSm"	"N-acteylglutamate synthase, mitochondrial"	"Irreversible"	0	"None"
1323	"ACHBSm"	"2-aceto-2-hydroxybutanoate synthase, mitochondrial"	"Irreversible"	0	"None"
19054	"ACHLE1"	"Isoamyl acetate-hydrolyzing esterase"	"Irreversible"	0	"None"
19055	"ACHLE2"	"Isobutyl acetate-hydrolyzing esterase"	"Irreversible"	0	"None"
19056	"ACHLE3"	"Ethyl acetate-hydrolyzing esterase"	"Irreversible"	0	"None"
