"Abbreviation"	"OfficialName"	"Equation"	"subSystem"	"GeneAssociation"	"ValidTarget"	"ValidTarget-test"
"r13BGH"	"Endo-1,3-beta-glucan glucohydrase"	"[c] : 13BDglcn + h2o --> glc-D"	"Starch and Sucrose Metabolism"	"YGR282C"	"TRUE"	"FALSE"
"r13BGHe"	"Exo-1,3-beta-glucan glucohydrase"	"[e] : 13BDglcn + h2o --> glc-D"	"Starch and Sucrose Metabolism"	"YLR300W, YOR190W, YDR261C"	"TRUE"	"FALSE"
"r13GS"	"1,3-beta-glucan synthase"	"[c] : udpg --> 13BDglcn + h + udp"	"Alternate Carbon Metabolism"	"YLR343W, YLR342W+YCR034W, YMR307W, YGR032W+YCR034W, YMR306W+YCR034W, YOL030W, YMR215W, YOL132W"	"TRUE"	"FALSE"
"r16GS"	"1,6-beta-glucan synthase"	"[c] : udpg --> 16BDglcn + h + udp"	"Alternate Carbon Metabolism"	"YPR159W, YGR143W"	"TRUE"	"FALSE"
"r23CAPPD"	"ADP-ribose 2,3-cyclic phosphodiesterase"	"[c] : 23camp + h + h2o --> amp2p"	"Other"	"YGR247W"	"TRUE"	"FALSE"
"r2DDA7Ptm"	"2-Dehydro-3-deoxy-D-arabino-heptonate7-phohsphate mitochondrial transport via diffusion"	"2dda7p[c] <==> 2dda7p[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r2DHPtm"	"2-Dehydropantoate mitochondrial transport"	"2dhp[c] <==> 2dhp[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r2DOXG6PP"	"2-deoxyglucose-6-phosphatase"	"[c] : 2doxg6p + h2o --> 2dglc + pi"	"Other"	"YHR043C, YHR044C"	"TRUE"	"FALSE"
"r2HBO"	"2-Hydroxybutyrate:NAD+ oxidoreductase"	"[c] : 2hb + nad <==> 2obut + h + nadh"	"Cysteine Metabolism"		"TRUE"	"FALSE"
"r2HBt2"	"2-hydroxybutyrate cotransport with proton"	"2hb[e] + h[e] <==> 2hb[c] + h[c]"	"Cysteine Metabolism"		"TRUE"	"FALSE"
"r2HMHMBQMTm"	"2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial"	"[m] : 2hpmhmbq + amet --> ahcys + h + q6"	"Quinone Biosynthesis"	"YML110C, YOR125C, YLR201C, YGL119W, YGR255C, YDR204W, YOL096C"	"TRUE"	"FALSE"
"r2HP6MPMOm"	"2-Hexaprenyl-6-methoxyphenol monooxygenase, mitochondrial"	"[m] : 2hp6mp + o2 --> 2hp6mbq + h2o"	"Quinone Biosynthesis"	"YML110C, YOR125C, YLR201C, YGL119W, YGR255C, YDR204W, YOL096C"	"TRUE"	"FALSE"
"r2HPMBQMTm"	"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial"	"[m] : 2hp6mbq + amet --> 2hpmmbq + ahcys + h"	"Quinone Biosynthesis"	"YML110C, YOR125C, YLR201C, YGL119W, YGR255C, YDR204W, YOL096C"	"TRUE"	"FALSE"
"r2HPMMBQMOm"	"2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase, mitochondrial"	"[m] : 2hpmmbq + (0.5) o2 --> 2hpmhmbq"	"Quinone Biosynthesis"	"YML110C, YOR125C, YLR201C, YGL119W, YGR255C, YDR204W, YOL096C"	"TRUE"	"FALSE"
"r2MBACt"	"2-methylbutyl transport (extracellular)"	"2mbac[c] --> 2mbac[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"r2MBALDt"	"2-Methylbutanal transport (extracellular)"	"2mbald[c] <==> 2mbald[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"r2MBALDtm"	"2-Methylbutanal transport (mitochondrial)"	"2mbald[c] <==> 2mbald[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r2MBTOHt"	"2-methyl-1-butanol transport (extracellular)"	"2mbtoh[c] <==> 2mbtoh[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"r2MBTOHtm"	"2-methyl-1-butanol transport (mitochondrial)"	"2mbtoh[c] <==> 2mbtoh[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r2MPPALt"	"2-methylpropanal transport (extracellular)"	"2mppal[c] <==> 2mppal[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"r2MPPALtm"	"2-methylpropanal transport (mitochondrial)"	"2mppal[c] <==> 2mppal[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r2OBUTtm"	"2obut transporter (mitochondrial)"	"2obut[c] <==> 2obut[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r2OXOADPtim"	"2-oxoadipate transport out of mitochondria via diffusion"	"2oxoadp[m] --> 2oxoadp[c]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r2PHETOHt"	"2-phenylethanol reversible transport"	"2phetoh[e] <==> 2phetoh[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"r2PHETOHtm"	"2-phenylethanol reversible transport, mitochondrial"	"2phetoh[m] <==> 2phetoh[c]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r34HPLFM"	"3-(4-hydroxyphenyl-)lactate formation"	"[m] : 34hpp + h + nadh --> 34hpl + nad"	"Quinone Biosynthesis"		"TRUE"	"FALSE"
"r34HPPOR"	"4-Hydroxyphenylpyruvate:oxygen oxidoreductase"	"[c] : 34hpp + o2 --> co2 + hgentis"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"		"TRUE"	"FALSE"
"r34HPPt2m"	"3-(4-hydroxyphenyl)pyruvate mitochondrial transport via proton symport"	"34hpp[c] + h[c] <==> 34hpp[m] + h[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r34HPPt2p"	"3-(4-hydroxyphenyl)pyruvate peroxisomal transport via proton symport"	"34hpp[c] + h[c] <==> 34hpp[x] + h[x]"	"Transport, Peroxisomal"		"TRUE"	"FALSE"
"r3C3HMPt"	"2-Isopropylmalate transport, diffusion"	"3c3hmp[c] <==> 3c3hmp[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"r3C3HMPtm"	"2-Isopropylmalate transport, diffusion, mitochondrial"	"3c3hmp[c] <==> 3c3hmp[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r3C4MOPtm"	"3-Carboxy-4-methyl-2-oxopentanoate transport, diffusion, mitochondrial"	"3c4mop[c] <==> 3c4mop[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r3DH5HPBMTm"	"S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase, mitochondrial"	"[m] : 3dh5hpb + amet --> 3hph5mb + ahcys + h"	"Quinone Biosynthesis"	"YML110C, YOR125C, YLR201C, YGL119W, YGR255C, YDR204W, YOL096C"	"TRUE"	"FALSE"
"r3DH5HPBtm"	"3-Hexaprenyl-4,5-dihydroxybenzoate transport, mitochondrial"	"3dh5hpb[c] <==> 3dh5hpb[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r3DSPHR"	"3-Dehydrosphinganine reductase"	"[c] : 3dsphgn + h + nadph --> nadp + sphgn"	"Sphingolipid Metabolism"	"YBR265W"	"TRUE"	"FALSE"
"r3HAO"	"3-hydroxyanthranilate 3,4-dioxygenase"	"[c] : 3hanthrn + o2 --> cmusa + h"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"YJR025C"	"TRUE"	"FALSE"
"r3HPH5MBDCm"	"3-Hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase, mitochondrial"	"[m] : 3hph5mb --> 2hp6mp + co2"	"Quinone Biosynthesis"		"TRUE"	"FALSE"
"r3IPM3MT"	"3-Isopropylmalate 3-methyltransferase"	"[c] : 3c2hmp + amet --> 3ipmmest + ahcys"	"Complex Alcohol Metabolism"	"YER175C"	"TRUE"	"FALSE"
"r3MBALDt"	"3-methylbutanal transport (extracellular)"	"3mbald[c] <==> 3mbald[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"r3MBALDtm"	"3-methylbutanal transport (mitochondrial)"	"3mbald[c] <==> 3mbald[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r3MOBDC"	"3-Methyl-2-oxobutanoate decarboxylase"	"[c] : 3mob + h --> 2mppal + co2"	"Complex Alcohol Metabolism"	"YLR044C, YLR134W, YGR087C"	"TRUE"	"FALSE"
"r3MOBtm"	"3-methyl-2-oxobutanoate transport, diffusion, mitochondrial"	"3mob[c] <==> 3mob[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r3MOPDC"	"3-Methyl-2-oxopentanoate decarboxylase"	"[c] : 3mop + h --> 2mbald + co2"	"Complex Alcohol Metabolism"	"YLR044C, YLR134W, YDL080C, YGR087C, YDR380W"	"TRUE"	"FALSE"
"r3MOPt"	"3mop reversible trasport"	"3mop[e] <==> 3mop[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"r3MOPtm"	"3-Methyl-2-oxopentanoate transport, diffusion, mitochondrial"	"3mop[c] <==> 3mop[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r3OPHB5Hm"	"3-Hexaprenyl-4,5-dihydroxybenzoate hydroxylase, mitochondrial"	"[c] : 3ophb_5 + (0.5) o2 --> 3dh5hpb"	"Quinone Biosynthesis"		"TRUE"	"FALSE"
"r3OPHB_5tm"	"3-Octaprenyl-4-hydroxybenzoate mitochondrial transport"	"3ophb_5[c] <==> 3ophb_5[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r4ABUTNtm"	"4-aminobutanal mitochondrial transport via diffusion"	"4abutn[c] <==> 4abutn[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r4ABUTtm"	"4-aminobutanoate mitochondrial transport via diffusion"	"4abut[c] <==> 4abut[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r4ABZt"	"4-Aminobenzoate mitochondrial transport via diffusion"	"4abz[c] <==> 4abz[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"r4ABZtm"	"4-Aminobenzoate mitochondrial transport via diffusion"	"4abz[c] <==> 4abz[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r4H2OGLTtm"	"4-hydroxy-2-oxoglutarate mitochondrial transport via diffusion"	"4h2oglt[c] <==> 4h2oglt[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r4H2OGLTtp"	"4-hydroxy-2-oxoglutarate peroxisomal transport via diffusion"	"4h2oglt[c] <==> 4h2oglt[x]"	"Transport, Peroxisomal"		"TRUE"	"FALSE"
"r4HBZCOAFm"	"4-hydroxybenzoyl-CoA formation"	"[m] : coa + coucoa + h2o + nad --> 4hbzcoa + accoa + h + nadh"	"Quinone Biosynthesis"		"TRUE"	"FALSE"
"r4HBZFm"	"4-hydroxybenzoate formation"	"[m] : 4hbzcoa + h2o --> 4hbz + coa + h"	"Quinone Biosynthesis"		"TRUE"	"FALSE"
"r4HBZtm"	"4-Hydroxybenzoate mitochondrial transport"	"4hbz[c] <==> 4hbz[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r4HGLSDm"	"L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial"	"[m] : 4hglusa + h2o + nad <==> e4hglu + (2) h + nadh"	"Arginine and Proline Metabolism"	"YHR037W"	"TRUE"	"FALSE"
"r4HPRO_LTtm"	"trans-4-hydroxy-L-proline mitochondrial transport via diffusion"	"4hpro-LT[c] <==> 4hpro-LT[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r4HTHRS"	"4-Hydroxy-L-threonine synthase"	"[c] : h2o + phthr --> 4hthr + pi"	"Threonine and Lysine Metabolism"	"YCR053W"	"TRUE"	"FALSE"
"r4MOPDC"	"4-Methyl-2-oxopentanoate decarboxylase"	"[c] : 4mop + h --> 3mbald + co2"	"Complex Alcohol Metabolism"	"YDL080C, YDR380W"	"TRUE"	"FALSE"
"r5AOPt2"	"5-Aminolevulinate transport in via proton symport"	"5aop[e] + h[e] --> 5aop[c] + h[c]"	"Transport, Extracellular"	"YDL210W"	"TRUE"	"FALSE"
"r5AOPtm"	"5-Aminolevulinate mitochondrial transport"	"5aop[c] <==> 5aop[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"r6PGLter"	"6-phospho-D-glucono-1,5-lactone endoplasmic reticular transport via diffusion"	"6pgl[c] <==> 6pgl[r]"	"Transport, Endoplasmic Reticular"		"TRUE"	"FALSE"
"r8AONNt2"	"8-Amino-7-oxononanoate reversible transport via proton symport"	"8aonn[e] + h[e] <==> 8aonn[c] + h[c]"	"Transport, Extracellular"	"YNR056C"	"TRUE"	"FALSE"
"AABTN"	"4-acetamidobutyrate deacetylase"	"[c] : 4aabutn + h2o --> 4abut + ac"	"Other Amino Acid Metabolism"		"TRUE"	"FALSE"
"AACTOOR"	"Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)"	"[c] : aact + h2o + o2 --> h2o2 + mthgxl + nh4"	"Alternate Carbon Metabolism"		"TRUE"	"FALSE"
"AASAD1"	"L-aminoadipate-semialdehyde dehydrogenase (NADPH)"	"[c] : L2aadp + atp + h + nadph --> L2aadp6sa + amp + nadp + ppi"	"Threonine and Lysine Metabolism"	"YBR115C+YGL154C"	"TRUE"	"FALSE"
"AASAD2"	"L-aminoadipate-semialdehyde dehydrogenase (NADH)"	"[c] : L2aadp + atp + h + nadh --> L2aadp6sa + amp + nad + ppi"	"Threonine and Lysine Metabolism"	"YBR115C+YGL154C"	"TRUE"	"FALSE"
"AATA"	"2-aminoadipate transaminase"	"[c] : 2oxoadp + glu-L <==> L2aadp + akg"	"Threonine and Lysine Metabolism"		"TRUE"	"FALSE"
"ABTA"	"4-aminobutyrate transaminase"	"[c] : 4abut + akg --> glu-L + sucsal"	"Glutamate metabolism"	"YGR019W"	"TRUE"	"FALSE"
"ABTt"	"L-arabinitol transport via passive diffusion"	"abt[e] <==> abt[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"ABUTDm"	"Aminobutyraldehyde dehydrogenase, mitochondrial"	"[m] : 4abutn + h2o + nad --> 4abut + (2) h + nadh"	"Other Amino Acid Metabolism"	"YER073W, YOR374W"	"TRUE"	"FALSE"
"ABUTt2r"	"4-aminobutyrate reversible transport in via proton symport"	"4abut[e] + h[e] <==> 4abut[c] + h[c]"	"Transport, Extracellular"	"YOR348C, YDL210W"	"TRUE"	"FALSE"
"ACACT1"	"acetyl-CoA C-acetyltransferase"	"[c] : (2) accoa --> aacoa + coa"	"Fatty Acid  Biosynthesis"	"YPL028W"	"TRUE"	"FALSE"
"ACACT1m"	"acetyl-CoA C-acetyltransferase, mitochondrial"	"[m] : (2) accoa --> aacoa + coa"	"Fatty Acid  Biosynthesis"	"YPL028W"	"TRUE"	"FALSE"
"ACACT4p"	"acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal"	"[x] : 3odcoa + coa --> accoa + occoa"	"Fatty Acid Degradation"	"YIL160C"	"TRUE"	"FALSE"
"ACACT5p"	"acetyl-CoA C-acyltransferase (decanoyl-CoA), peroxisomal"	"[x] : 3oddcoa + coa --> accoa + dcacoa"	"Fatty Acid Degradation"	"YIL160C"	"TRUE"	"FALSE"
"ACACT6p"	"acetyl-CoA C-acetyltransferase (dodecanoyl), peroxisomal"	"[x] : 3otdcoa + coa --> accoa + ddcacoa"	"Fatty Acid Degradation"	"YIL160C"	"TRUE"	"FALSE"
"ACACT7p"	"acetyl-CoA acyltransferase (tetradecanoyl-CoA), peroxisomal"	"[x] : 3ohdcoa + coa --> accoa + tdcoa"	"Fatty Acid Degradation"	"YIL160C"	"TRUE"	"FALSE"
