"bNumber"	"gene"	"function"
"b0001"	"thrL"	"thr operon leader peptide"
"b0002"	"thrA"	"fused aspartokinase I -!- homoserine dehydrogenase I"
"b0003"	"thrB"	"homoserine kinase"
"b0004"	"thrC"	"threonine synthase"
"b0005"	"yaaX"	"predicted protein"
"b0006"	"yaaA"	"conserved protein"
"b0007"	"yaaJ"	"predicted transporter"
"b0008"	"talB"	"transaldolase B"
"b0009"	"mog"	"predicted molybdochelatase"
"b0010"	"yaaH"	"conserved inner membrane protein associated with acetate transport"
"b0011"	"yaaW"	"conserved protein"
"b0012"	"htgA"	"predicted protein"
"b0013"	"yaaI"	"predicted protein"
"b0014"	"dnaK"	"chaperone Hsp70, co-chaperone with DnaJ"
"b0015"	"dnaJ"	"chaperone Hsp40, co-chaperone with DnaK, DNA-binding"
"b0016"	"insL-1"	"IS186/IS421 transposase"
"b0582"	"insL-2"	"IS186/IS421 transposase"
"b2394"	"insL-3"	"predicted transposase"
"b4412"	"hokC"	"toxic membrane protein, small"
"b0018"	"mokC"	"regulatory protein for HokC, overlaps CDS of hokC"
"b4413"	"sokC"	"regulatory, antisense RNA"
"b0019"	"nhaA"	"sodium-proton antiporter"
"b0020"	"nhaR"	"DNA-binding transcriptional activator"
"b0021"	"insB-1"	"IS1 transposase InsAB'"
"b0264"	"insB-2"	"CP4-6 prophage; IS1 transposase InsAB'"
"b0274"	"insB-3"	"CP4-6 prophage; IS1 transposase InsAB'"
"b0988"	"insB-4"	"IS1 transposase InsAB'"
"b1893"	"insB-5"	"IS1 transposase InsAB'"
"b3445"	"insB-6"	"IS1 transposase InsAB'"
"b4563"	"insB-7_1"	"IS1 transposase InsAB', N-ter fragment (pseudogene)"
"b4564"	"insB-7_2"	"IS1 transposase InsAB', C-ter fragment (pseudogene)"
"b4576"	"insB-7"	"IS1 transposase InsAB' (pseudogene)"
"b0022"	"insA-1"	"IS1 repressor protein InsA"
"b0265"	"insA-2"	"CP4-6 prophage; IS1 repressor protein InsA"
"b0275"	"insA-3"	"CP4-6 prophage; IS1 repressor protein InsA"
"b1894"	"insA-5"	"IS1 repressor protein InsA"
"b3444"	"insA-6"	"IS1 repressor protein InsA"
"b4294"	"insA-7"	"KpLE2 phage-like element; IS1 repressor protein InsA"
"b4516"	"insA-4"	"IS1 repressor protein InsA"
"b0023"	"rpsT"	"30S ribosomal subunit protein S20"
"b0024"	"yaaY"	"predicted protein"
"b0025"	"ribF"	"bifunctional riboflavin kinase -!- FAD synthetase"
"b0026"	"ileS"	"isoleucyl-tRNA synthetase"
"b0027"	"lspA"	"prolipoprotein signal peptidase (signal peptidase II)"
"b0028"	"fkpB"	"FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)"
"b0029"	"ispH"	"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein"
"b0030"	"rihC"	"ribonucleoside hydrolase 3"
"b0031"	"dapB"	"dihydrodipicolinate reductase"
"b0032"	"carA"	"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"
"b0033"	"carB"	"carbamoyl-phosphate synthase large subunit"
"b0034"	"caiF"	"DNA-binding transcriptional activator"
"b0035"	"caiE"	"predicted acyl transferase"
"b0036"	"caiD"	"crotonobetainyl CoA hydratase"
"b0037"	"caiC"	"predicted crotonobetaine CoA ligase:carnitine CoA ligase"
"b0038"	"caiB"	"crotonobetainyl CoA:carnitine CoA transferase"
"b0039"	"caiA"	"crotonobetaine reductase subunit II, FAD-binding"
"b0040"	"caiT"	"predicted transporter"
"b0041"	"fixA"	"predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain"
"b0042"	"fixB"	"predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like"
"b0043"	"fixC"	"predicted oxidoreductase, FAD/NAD(P)-binding domain"
"b0044"	"fixX"	"predicted 4Fe-4S ferredoxin-type protein"
"b0045"	"yaaU"	"predicted transporter"
"b0046"	"kefF"	"flavoprotein subunit for the KefC potassium efflux system"
"b0047"	"kefC"	"potassium:proton antiporter"
"b0048"	"folA"	"dihydrofolate reductase"
"b0049"	"apaH"	"diadenosine tetraphosphatase"
"b0050"	"apaG"	"protein associated with Co2+ and Mg2+ efflux"
"b0051"	"ksgA"	"S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase"
"b0052"	"pdxA"	"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent"
"b0053"	"surA"	"peptidyl-prolyl cis-trans isomerase (PPIase)"
"b0054"	"imp"	"exported protein required for envelope biosynthesis and integrity"
"b0055"	"djlA"	"DnaJ-like protein, membrane anchored, DNA-binding"
"b0056"	"yabP"	"predicted protein"
"b0057"	"yabQ"	"predicted protein"
"b0058"	"rluA"	"pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)"
"b0059"	"hepA"	"RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)"
"b0060"	"polB"	"DNA polymerase II"
"b0061"	"araD"	"L-ribulose-5-phosphate 4-epimerase"
"b0062"	"araA"	"L-arabinose isomerase"
"b0063"	"araB"	"L-ribulokinase"
"b0064"	"araC"	"DNA-binding transcriptional dual regulator"
"b0065"	"yabI"	"conserved inner membrane protein"
"b0066"	"thiQ"	"thiamin transporter subunit -!- ATP-binding component of ABC superfamily"
"b0067"	"thiP"	"fused subunits of thiamin transporter -!- membrane components of ABC superfamily"
"b0068"	"tbpA"	"thiamin transporter subunit -!- periplasmic-binding component of ABC superfamily"
